player,pre,club_pos_id
Matej Vydra,10.9,24
Joel Mumbongo,10.7,25
Edouard Mendy,12,1
Kepa Arrizabalaga,8.25,2
Willy Caballero,8.9,3
Cesar Azpilicueta,12.95,4
Antonio Rudiger,9.8,5
Andreas Christensen,8.7,6
Thiago Silva,9.25,7
Kurt Zouma,10.15,8
Fikayo Tomori,10.55,9
Emerson,9.4,10
Reece James,12.9,11
Ben Chilwell,12.5,12
Marcos Alonso,16.3,13
Jorginho,13.1,14
Mateo Kovacic,13.3,15
Ngolo Kante,12.45,16
Billy Gilmour,13.25,17
Mason Mount,11.9,18
Christian Pulisic,17.05,19
Kai Havertz,14.5,20
Hakim Ziyech,14.5,21
Callum Hudson-Odoi,15.3,22
Tammy Abraham,13.6,23
Olivier Giroud,14.8,24
Timo Werner,14.5,25
Vicente Guaita,12.1,1
Jack Butland,11.1,2
Joel Ward,9.85,3
Nathaniel Clyne,9.85,4
Martin Kelly,10.45,5
Gary Cahill,9.2,6
Scott Dann,10.45,7
James Tomkins,9.3,8
Mamadou Sakho,6.65,9
Patrick van Aanholt,11.7,10
Tyrick Mitchell,10,11
Cheikhou Kouyate,10.55,12
Luka Milivojevic,10.8,13
Jeffrey Schlupp,12.2,14
Jairo Riedewald,12.1,15
James McArthur,11.15,16
James McCarthy,10.8,17
Eberechi Eze,12.15,18
Andros Townsend,14.65,19
Wilfried Zaha,11.4,20
Jordan Ayew,10.85,21
Christian Benteke,12.5,22
Michy Batshuayi,13.8,23
Jean-Philippe Mateta,12.15,24
Jordan Pickford,10.05,1
Robin Olsen,9.5,2
Joao Virginia,9,3
Seamus Coleman,11.15,4
Jonjoe Kenny,10.15,5
Michael Keane,10.3,6
Mason Holgate,10.4,7
Yerry Mina,10.1,8
Lucas Digne,13.45,9
Niels Nkounkou,11.5,10
Ben Godfrey,6.9,11
Fabian Delph,10.2,12
Allan,10.75,13
Abdoulaye Doucoure,11.15,14
Andre Gomes,8.5,15
Jean-Philippe Gbamin,9.05,16
Tom Davies,9.95,17
Gylfi Sigurdsson,12.95,18
Nathan Broadhead,10.1,19
Alex Iwobi,12.6,20
James Rodriguez,12,21
Bernard,14,22
Richarlison,13.45,23
Anthony Gordon,15.05,24
Moise Kean,13,25
Dominic Calvert-Lewin,11.25,26
Joshua King,12.55,27
Cenk Tosun,11.35,28
Marek Rodak,10,1
Alphonse Areola,10,2
Kenny Tete,10.45,3
Ola Aina,10.45,4
Denis Odoi,10.45,5
Tim Ream,8.9,6
Joachim Andersen,9,7
Tosin Adarabioyo,9,8
Michael Hector,9,9
Terence Kongolo,9,10
Maxime Le Marchand,9,11
Joe Bryan,12.5,12
Antonee Robinson,12,13
Andre-Frank Zambo Anguissa,10.75,14
Harrison Reed,10.75,15
Mario Lemina,10.75,16
Tom Cairney,11.35,17
Josh Onomah,10.75,18
Tyrese Francois,10.75,19
Fabio Carvalho,11.35,20
Neeskens Kebano,10.75,21
Ruben Loftus-Cheek,11.9,22
Bobby De Cordova-Reid,11.1,23
Ivan Cavaleiro,11.1,24
Ademola Lookman,11.25,25
Aleksandar Mitrovic,11.35,26
Aboubakar Kamara,10.75,27
Josh Maja,11.1,28
Illan Meslier,10.75,1
Kiko Casilla,10.75,2
Luke Ayling,11.25,3
Gaetano Berardi,10.5,4
Robin Koch,9.5,5
Diego Llorente,9.5,6
Liam Cooper,9.5,7
Pascal Struijk,9.5,8
Leif Davis,9.25,9
Ezgjan Alioski,10.85,10
Stuart Dallas,10.85,11
Kalvin Phillips,10.75,12
Mateusz Klich,10.75,13
Jamie Shackleton,10.75,14
Jack Harrison,11.25,15
Pablo Hernandez,12,16
Helder Costa,10.5,17
Raphinha,11.8,18
Tyler Roberts,10.75,19
Rodrigo,11.8,20
Ian Poveda-Ocampo,10.75,21
Patrick Bamford,12,22
Niall Huggins,9.75,23
Kasper Schmeichel,11.4,1
Ricardo Pereira,15.2,2
James Justin,11.7,3
Daniel Amartey,10.7,4
Wesley Fofana,10.7,5
Jonny Evans,10.6,6
Caglar Soyuncu,10.9,7
Wes Morgan,10.5,8
Timothy Castagne,11.7,9
Christian Fuchs,10.6,10
Luke Thomas,15.25,11
Nampalys Mendy,13.95,12
Wilfred Ndidi,13.25,13
Hamza Choudhury,11.9,14
Youri Tielemans,11.85,15
Sidnei Tavares,10.85,16
Thakgalo Leshabela,10.85,17
Marc Albrighton,15.05,18
Dennis Praet,12.45,19
Harvey Barnes,15.45,20
Demarai Gray,15.4,21
Cengiz Under,13.35,22
James Maddison,14.2,23
Ayoze Perez,14.25,24
Jamie Vardy,14.85,25
Kelechi Iheanacho,16.05,26
Islam Slimani,14.5,27
Alisson,11.05,1
Adrian,10.35,2
Caoimhin Kelleher,10.25,3
Trent Alexander-Arnold,16.4,4
Neco Williams,15.95,5
Joseph Gomez,11.6,6
Joel Matip,13.15,7
Rhys Williams,11.75,8
Nathaniel Phillips,11.75,9
Virgil van Dijk,11.9,10
Ozan Kabak,10.9,11
Andrew Robertson,14.55,12
Konstantinos Tsimikas,13.1,13
Fabinho,10.95,14
Jordan Henderson,14.1,15
Georginio Wijnaldum,9.65,16
Naby Keita,16.7,17
James Milner,11,18
Curtis Jones,20.6,19
Thiago,13.85,20
Alex Oxlade-Chamberlain,13.6,21
Xherdan Shaqiri,13.6,22
Roberto Firmino,14.35,23
Mohamed Salah,16,24
Diogo Jota,13.05,25
Sadio Mane,17.3,26
Divock Origi,14.5,27
Ederson,10.9,1
Zack Steffen,9.9,2
Scott Carson,9,3
Kyle Walker,12.1,4
Joao Cancelo,13.55,5
John Stones,8.3,6
Eric Garcia,11.9,7
Ruben Dias,11.9,8
Aymeric Laporte,13.2,9
Nathan Ake,9.4,10
Benjamin Mendy,12.7,11
Oleksandr Zinchenko,12.95,12
Fernandinho,8.35,13
Rodri,11.45,14
Ilkay Gundogan,11.05,15
Kevin De Bruyne,23.25,16
Bernardo Silva,15.65,17
Phil Foden,15.95,18
Raheem Sterling,16.75,19
Riyad Mahrez,19.15,20
Sergio Aguero,16.5,21
Gabriel Jesus,18.35,22
Ferran Torres,17,23
Liam Delap,17,24
David de Gea,10.8,1
Dean Henderson,11.9,2
Aaron Wan-Bissaka,13.3,3
Timothy Fosu-Mensah,9.8,4
Victor Lindelof,8.75,5
Harry Maguire,11.4,6
Eric Bailly,12.8,7
William Fish,11.2,8
Axel Tuanzebe,8.65,9
Luke Shaw,11.45,10
Alex Telles,12.35,11
Brandon Williams,12.75,12
Nemanja Matic,12.15,13
Scott McTominay,13,14
Fred,12.2,15
Paul Pogba,14.4,16
Hannibal Mejbri,12.9,17
Donny van de Beek,12.9,18
Juan Mata,11,19
Bruno Fernandes,21.4,20
Daniel James,10.55,21
Mason Greenwood,14.25,22
Marcus Rashford,16.2,23
Anthony Martial,14.6,24
Odion Ighalo,14.65,25
Anthony Elanga,14.05,26
Amad Diallo,14.05,27
Shola Shoretire,14.05,28
Edinson Cavani,14.05,29
Martin Dubravka,12.8,1
Karl Darlow,11.8,2
Javier Manquillo,11.55,3
Emil Krafth,9.7,4
Deandre Yedlin,9.1,5
Fabian Schar,12.8,6
Jamaal Lascelles,9.2,7
Ciaran Clark,10.25,8
Federico Fernandez,10.1,9
Paul Dummett,10.05,10
Jamal Lewis,8.4,11
Jacob Murphy,9.25,12
Matt Ritchie,11.65,13
Jeff Hendrick,9.15,14
Isaac Hayden,10.4,15
Jonjo Shelvey,13,16
Sean Longstaff,9.6,17
Joseph Willock,14.05,18
Matthew Longstaff,11.35,19
Elliot Anderson,11.25,20
Ryan Fraser,10.75,21
Miguel Almiron,11.1,22
Allan Saint-Maximin,17,23
Joelinton,10.4,24
Dwight Gayle,11.8,25
Callum Wilson,9.05,26
Andy Carroll,13.55,27
Aaron Ramsdale,11.5,1
Kean Bryan,10.1,2
Chris Basham,12.2,3
John Egan,11.1,4
Jack OConnell,10.6,5
Phil Jagielka,11.9,6
Jack Robinson,9.45,7
Max Lowe,10.75,8
George Baldock,11.45,9
Jayden Bogle,10.9,10
Ethan Ampadu,11.05,11
Enda Stevens,12.45,12
John Lundstram,12,13
Sander Berge,12.8,14
Oliver Norwood,11.8,15
Femi Seriki,12.2,16
Iliman Ndiaye,12.2,17
John Fleck,11.95,18
Ben Osborn,11.5,19
Oliver Burke,12.05,20
David McGoldrick,12.3,21
Oliver McBurnie,13.5,22
Billy Sharp,9.65,23
Lys Mousset,13.25,24
Rhian Brewster,12.2,25
Antwoine Hackford,12.2,26
Daniel Jebbison,12.2,27
Alex McCarthy,11.5,1
Fraser Forster,11.5,2
Kyle Walker-Peters,12.3,3
Yan Valery,10.55,4
Kayne Ramsay,9.55,5
Allan Tchaptchet,9.55,6
Jan Bednarek,10.05,7
Jack Stephens,9.85,8
Jannik Vestergaard,9.9,9
Mohammed Salisu,9.95,10
Jake Vokins,5.7,11
Ryan Bertrand,9.5,12
Nathan Tella,21.5,13
William Smallbone,10.95,14
Oriol Romeu,11.75,15
Caleb Watts,11.85,16
Alexandre Jankewitz,11.85,17
Ibrahima Diallo,11.85,18
James Ward-Prowse,12.4,19
Moussa Djenepo,14.3,20
Stuart Armstrong,12,21
Nathan Redmond,11.75,22
Theo Walcott,12.4,23
Takumi Minamino,10.65,24
Danny Ings,15.25,25
Che Adams,13.5,26
Michael Obafemi,15.15,27
Shane Long,12.5,28
Daniel NLundulu,12.9,29
Hugo Lloris,13.75,1
Serge Aurier,13.95,2
Japhet Tanganga,11.8,3
Toby Alderweireld,9.15,4
Davinson Sanchez,8.75,5
Eric Dier,10.1,6
Joe Rodon,9.35,7
Ben Davies,9.9,8
Sergio Reguilon,11.95,9
Matt Doherty,14.65,10
Moussa Sissoko,9.9,11
Harry Winks,9.85,12
Pierre-Emile Hojbjerg,12.3,13
Tanguy Ndombele,14.65,14
Giovani Lo Celso,12,15
Dele Alli,13.7,16
Erik Lamela,13.6,17
Lucas Moura,13.75,18
Gareth Bale,13.25,19
Son Heung-Min,15.75,20
Steven Bergwijn,12.55,21
Harry Kane,13.8,22
Carlos Vinicius,13.75,23
Dane Scarlett,13.75,24
Sam Johnstone,10.75,1
David Button,9.75,2
Darnell Furlong,11.25,3
Lee Peltier,10.25,4
Ahmed Hegazi,10.25,5
Branislav Ivanovic,9.75,6
Semi Ajayi,9.5,7
Kyle Bartley,9.5,8
Dara OShea,9.5,9
Conor Townsend,10.85,10
Kieran Gibbs,10.85,11
Ainsley Maitland-Niles,9.8,12
Jake Livermore,10.75,13
Okay Yokuslu,10.75,14
Conor Gallagher,10.75,15
Filip Krovinovic,10.75,16
Rakeem Harper,10.25,17
Romaine Sawyers,10.25,18
Sam Field,10.25,19
Kamil Grosicki,10.75,20
Grady Diangana,11.8,21
Robert Snodgrass,13.2,22
Matt Phillips,11.9,23
Kyle Edwards,10.75,24
Matheus Pereira,11.9,25
Hal Robson-Kanu,10.9,26
Karlan Grant,10.9,27
Callum Robinson,10.6,28
Mbaye Diagne,10.75,29
Charlie Austin,10.9,30
Lukasz Fabianski,11.1,1
Darren Randolph,8.5,2
Vladimir Coufal,11.25,3
Ryan Fredericks,10.75,4
Ben Johnson,7.8,5
Fabian Balbuena,10.15,6
Craig Dawson,9.7,7
Angelo Ogbonna,8.85,8
Issa Diop,8.7,9
Aaron Cresswell,9.35,10
Arthur Masuaku,12.3,11
Mark Noble,10.35,12
Declan Rice,12.3,13
Tomas Soucek,12.5,14
Felipe Anderson,15.75,15
Manuel Lanzini,11.95,16
Jesse Lingard,11.05,17
Pablo Fornals,12.05,18
Jarrod Bowen,15.05,19
Said Benrahma,12.5,20
Andriy Yarmolenko,13.4,21
Michail Antonio,17.1,22
Sebastien Haller,12.65,23
Rui Patricio,10.9,1
John Ruddy,9.9,2
Ki-Jana Hoever,10.5,3
Oskar Buur,10.5,4
Maximilian Kilman,9.4,5
Conor Coady,8.2,6
Willy Boly,13.7,7
Romain Saiss,10.9,8
Marcal,10.7,9
Leander Dendoncker,9.6,10
Ruben Vinagre,13.65,11
Nelson Semedo,12.1,12
Jonny,12.2,13
Rayan Ait-Nouri,12.15,14
Owen Otasowie,9.6,15
Ruben Neves,11.65,16
Joao Moutinho,13.35,17
Morgan Gibbs-White,12.5,18
Vitinha,11.75,19
Daniel Podence,14.4,20
Adama Traore,17.9,21
Pedro Neto,14.25,22
Raul Jimenez,13.8,23
Patrick Cutrone,16.2,24
Willian Jose,15,25
Theo Corbeanu,15,26
Fabio Silva,15,27
