player,pre,club_pos_id
Luke Freeman,8.75,13
Sander Berge,9.25,14
Oliver Norwood,9.5,15
Jack Rodwell,9.5,16
John Fleck,9.25,17
Ben Osborn,9,18
Ravel Morrison,11.5,19
David McGoldrick,9.95,20
Oliver McBurnie,9.95,21
Billy Sharp,9.95,22
Callum Robinson,9.95,23
Lys Mousset,8.25,24
Richairo Zivkovic,8,25
Leon Clarke,8.25,26
Angus Gunn,10.5,1
Alex McCarthy,10.75,2
Kyle Walker-Peters,12.45,3
Maya Yoshida,10.25,4
Jan Bednarek,9.75,5
Jack Stephens,7.5,6
Jannik Vestergaard,10.1,7
Kevin Danso,10,8
Jake Vokins,9.95,9
Yan Valery,9.25,10
Ryan Bertrand,9.75,11
Pierre-Emile Hojbjerg,11.25,12
Oriol Romeu,7.75,13
James Ward-Prowse,11.9,14
Nathan Tella,10,15
Moussa Djenepo,10,16
Sofiane Boufal,10.25,17
William Smallbone,10.25,18
Stuart Armstrong,9,19
Nathan Redmond,12.5,20
Danny Ings,10.75,21
Che Adams,10.75,22
Michael Obafemi,9,23
Shane Long,9.25,24
Hugo Lloris,12,1
Paulo Gazzaniga,12.9,2
Serge Aurier,11.75,3
Japhet Tanganga,10.75,4
Toby Alderweireld,8.5,5
Jan Vertonghen,9.25,6
Davinson Sanchez,9.75,7
Juan Foyth,9.5,8
Ben Davies,8.25,9
Eric Dier,8.25,10
Moussa Sissoko,8.5,11
Harry Winks,8,12
Oliver Skipp,7.75,13
Gedson Fernandes,8.5,14
Victor Wanyama,8.75,15
Tanguy Ndombele,9.25,16
Georges-Kevin Nkoudou,9,17
Giovani Lo Celso,9.75,18
Christian Eriksen,14,19
Erik Lamela,10.25,20
Dele Alli,11.25,21
Kouassi Ryan Sessegnon,9.25,22
Lucas Moura,11.5,23
Son Heung-Min,12,24
Harry Kane,15.25,25
Steven Bergwijn,12,26
Troy Parrott,11.5,27
Ben Foster,12,1
Francisco Femenia Far,9.5,2
Daryl Janmaat,11,3
Adrian Mariappa,7.75,4
Dimitri Foulquier,9.35,5
Craig Dawson,9.25,6
Sebastian Prodl,10,7
Craig Cathcart,8,8
Christian Kabasele,7.75,9
Jose Holebas,12.75,10
Adam Masina,7.5,11
Abdoulaye Doucoure,11,12
Etienne Capoue,10.25,13
Nathaniel Chalobah,7.5,14
Domingos Quina,8.5,15
Tom Cleverley,8,16
Will Hughes,9,17
Ignacio Pussetto,9.5,18
Roberto Pereyra,10.5,19
Gerard Deulofeu,10.5,20
Ismaila Sarr,10.25,21
Isaac Success Ajayi,8,22
Joao Pedro,9.5,23
Andre Gray,8,24
Troy Deeney,13,25
Danny Welbeck,8,26
Lukasz Fabianski,12.6,1
Darren Randolph,10.5,2
Roberto Jimenez,11.5,3
David Martin,10,4
Pablo Zabaleta,8.75,5
Ryan Fredericks,8.75,6
Jeremu Ngakia,8.75,7
Fabian Balbuena,10.5,8
Angelo Ogbonna,8,9
Issa Diop,9.95,10
Aaron Cresswell,8.25,11
Arthur Masuaku,9.85,12
Ben Johnson,7.75,13
Mark Noble,8.25,14
Declan Rice,9,15
Tomas Soucek,9.25,16
Jack Wilshere,8,17
Carlos Sanchez,7.5,18
Felipe Anderson,15.25,19
Manuel Lanzini,8.75,20
Nathan Holland,9.5,21
Pablo Fornals,11.5,22
Robert Snodgrass,9.75,23
Jarrod Bowen,10.25,24
Andriy Yarmolenko,9.75,25
Michail Antonio,11.25,26
Sebastien Haller,10.75,27
Chicharito,9,28
Albian Ajeti,9,29
Rui Patricio,9.75,1
Conor Coady,7,2
Maximilian Kilman,9.95,3
Willy Boly,11.25,4
Jesus Vallejo,11.25,5
Matt Doherty,13.5,6
Romain Saiss,7.95,7
Leander Dendoncker,9.95,8
Jonny,11.75,9
Ruben Vinagre,8.75,10
Ruben Neves,10.25,11
Joao Moutinho,12.75,12
Morgan Gibbs-White,8.5,13
Bruno Jordao,8.5,14
Daniel Podence,9.25,15
Adama Traore,9,16
Diogo Jota,11,17
Raul Jimenez,12.75,18
Patrick Cutrone,12,19
Pedro Neto,12,20
