player,pre,club_pos_id
Reece James,17.85,11
N'Golo Kante,16.8,12
Denis Zakaria,13,13
Mateo Kovacic,14,14
Carney Chukwuemeka,12.6,15
Conor Gallagher,13.75,16
Enzo Fernandez,13.15,17
Ruben Loftus-Cheek,13.8,18
Lewis Hall,13.5,19
Christian Pulisic,13.1,20
Hakim Ziyech,15.95,21
Omari Hutchinson,13.25,22
Mykhailo Mudryk,14,23
Mason Mount,16.45,24
Kai Havertz,12.95,25
Raheem Sterling,16.1,26
Joao Felix,13.25,27
Armando Broja,11.2,28
Pierre-Emerick Aubameyang,10.75,29
David Datro Fofana,10.75,30
Noni Madueke,11.75,31
Vicente Guaita,11.1,1
Nathaniel Clyne,10.45,2
Chris Richards,10.25,3
Joel Ward,10.2,4
James Tomkins,8.55,5
Joachim Andersen,11.25,6
Marc Guehi,10.3,7
Tyrick Mitchell,11.3,8
Cheick Oumar Doucoure,12.2,9
Luka Milivojevic,11.35,10
Albert Sambi Lokonga,11.55,11
Jairo Riedewald,12.2,12
Jeffrey Schlupp,15.1,13
Naouirou Ahamada,12,14
Will Hughes,9.3,15
Eberechi Eze,13.95,16
David Ozoh,10.35,17
Michael Olise,15.95,18
Malcolm Ebiowei,10.6,19
Jordan Ayew,11.95,20
Wilfried Zaha,13.3,21
Odsonne Edouard,13.4,22
Jean-Philippe Mateta,13.05,23
Jordan Pickford,10.35,1
Asmir Begovic,13.2,2
Nathan Patterson,10.4,3
Seamus Coleman,10.7,4
Mason Holgate,9.1,5
Ben Godfrey,9.3,6
Michael Keane,11.85,7
Conor Coady,9.8,8
Yerry Mina,9.55,9
James Tarkowski,11.55,10
Ruben Vinagre,9.3,11
Vitalii Mykolenko,12.15,12
Idrissa Gueye,11.75,13
Abdoulaye Doucoure,11.45,14
Amadou Onana,11.9,15
Tom Davies,10.8,16
James Garner,11.95,17
Isaac Price,5.25,18
Dele Alli,11.85,19
Dwight McNeil,13.45,20
Alex Iwobi,12.6,21
Demarai Gray,13.7,22
Neal Maupay,8.45,23
Salomon Rondon,10.15,24
Dominic Calvert-Lewin,11.85,25
Thomas Cannon,10.85,26
Ellis Simms,5.25,27
Bernd Leno,9.6,1
Marek Rodak,11.25,2
Kenny Tete,11.6,3
Cedric Soares,11.95,4
Kevin Mbabu,11.9,5
Tosin Adarabioyo,12.25,6
Tim Ream,11.55,7
Issa Diop,9.9,8
Shane Duffy,10.8,9
Layvin Kurzawa,13.6,10
Antonee Robinson,14.6,11
Harrison Reed,9.65,12
Tyrese Francois,7.1,13
Nathaniel Chalobah,5.8,14
Luke Harris,9.9,15
Sasa Lukic,9.9,16
Josh Onomah,9.9,17
Joao Palhinha,11.75,18
Neeskens Kebano,11.25,19
Tom Cairney,7.1,20
Andreas Pereira,9.25,21
Harry Wilson,12.2,22
Daniel James,9.1,23
Bobby De Cordova-Reid,9.9,24
Willian,10.25,25
Manor Solomon,11.25,26
Aleksandar Mitrovic,12.1,27
Carlos Vinicius,11.1,28
Jay Stansfield,9.15,29
Illian Meslier,10.25,1
Rasmus Kristensen,10.85,2
Luke Ayling,10.95,3
Cody Drameh,5.6,4
Robin Koch,8.95,5
Diego Llorente,10.9,6
Liam Cooper,12,7
Pascal Struijk,11.15,8
Junior Firpo,9.25,9
Maximilian Wober,10.5,10
Adam Forshaw,10.35,11
Marc Roca,11.45,12
Tyler Adams,11.45,13
Mateusz Klich,11.9,14
Weston McKennie,11.8,15
Darko Gyabi,11.75,16
Brenden Aaronson,12.4,17
Crysencio Summerville,14.05,18
Jack Harrison,13.5,19
Rodrigo,11.35,20
Luis Sinisterra,12.45,21
Sam Greenwood,14.2,22
Joe Gelhardt,15.6,23
Patrick Bamford,12,24
Wilfried Gnonto,12,25
Mateo Joseph,12,26
Georginio Rutter,12,27
Danny Ward,9.5,1
James Justin,10.1,2
Ricardo Pereira,13.95,3
Jonny Evans,11.65,4
Daniel Amartey,9.4,5
Caglar Soyuncu,10.05,6
Harry Souttar,10.25,7
Wout Faes,10.5,8
Timothy Castagne,12.2,9
Luke Thomas,11.35,10
Victor Kristiansen,10.75,11
Nampalys Mendy,8,12
Wilfred Ndidi,12.5,13
Boubakary Soumare,12.2,14
Youri Tielemans,13.3,15
Kiernan Dewsbury-Hall,11.9,16
Marc Albrighton,12.75,17
Dennis Praet,11.25,18
Lewis Brunt,9.4,19
Harvey Barnes,15.2,20
James Maddison,15.1,21
Ayoze Perez,19.45,22
Patson Daka,13.6,23
Jamie Vardy,13.9,24
Kelechi Iheanacho,12.6,25
Tete,12.75,26
Alisson,12.2,1
Trent Alexander-Arnold,18.7,2
Joseph Gomez,14.85,3
Stefan Bajcetic,14.6,4
Joel Matip,14.95,5
Ibrahima Konate,11.1,6
Nathaniel Phillips,14.5,7
Virgil van Dijk,14,8
Andrew Robertson,17.25,9
Konstantinos Tsimikas,14.45,10
Fabinho,12.1,11
Jordan Henderson,12.55,12
James Milner,14,13
Thiago,15.55,14
Naby Keita,14.35,15
Curtis Jones,13.3,16
Alex Oxlade-Chamberlain,14.65,17
Harvey Elliott,12.6,18
Fabio Carvalho,15.6,19
Mohamed Salah,18.65,20
Cody Gakpo,16.5,21
Roberto Firmino,15.4,22
Darwin Nunez,13.8,23
Luis Diaz,17.25,24
Diogo Jota,14.9,25
Ben Doak,11.65,26
Ederson,10.6,1
Kyle Walker,11.4,2
Rico Lewis,11,3
Ruben Dias,13.35,4
John Stones,14.2,5
Manuel Akanji,14,6
Nathan Ake,13.35,7
Joao Cancelo,17.25,8
Sergio Gomez,15.1,9
Rodri,13.1,10
Kalvin Phillips,11.15,11
Bernardo Silva,14.55,12
Ilkay Gundogan,16.75,13
Cole Palmer,12.75,14
Kevin De Bruyne,20.75,15
Jack Grealish,13.65,16
Phil Foden,15.1,17
Riyad Mahrez,17.8,18
Erling Haaland,14.5,19
Julian Alvarez,13.95,20
David de Gea,10.35,1
Diogo Dalot,12.9,2
Aaron Wan-Bissaka,12.2,3
Harry Maguire,10.2,4
Raphael Varane,9.95,5
Lisandro Martinez,10.75,6
Victor Lindelof,9.6,7
Luke Shaw,10.4,8
Tyrell Malacia,14.1,9
Casemiro,13.1,10
Scott McTominay,11.95,11
Fred,14.25,12
Donny van de Beek,14.9,13
Bruno Fernandes,13.95,14
Christian Eriksen,15.6,15
Marcel Sabitzer,13.5,16
Facundo Pellistri,10.5,17
Kobbie Mainoo,10.5,18
Alejandro Garnacho Ferreyra,8.7,19
Jadon Sancho,13.2,20
Anthony Elanga,13.05,21
Marcus Rashford,12.4,22
Antony,13,23
Cristiano Ronaldo,13.6,24
Anthony Martial,12.3,25
Wout Weghorst,10.5,26
Nick Pope,11.25,1
Martin Dubravka,10.1,2
Kieran Trippier,17.3,3
Javier Manquillo,11.55,4
Emil Krafth,10.1,5
Fabian Schar,11.15,6
Jamaal Lascelles,8.7,7
Sven Botman,9.75,8
Dan Burn,11.75,9
Matt Targett,12.2,10
Jamal Lewis,9.7,11
Matt Ritchie,10.7,12
Sean Longstaff,11,13
Joe Willock,12.75,14
Elliot Anderson,11.8,15
Bruno Guimaraes,16.4,16
Ryan Fraser,11.5,17
Jacob Murphy,13,18
Miguel Almiron,12.6,19
Anthony Gordon,12.9,20
Joelinton,12.5,21
Allan Saint-Maximin,14.9,22
Alexander Isak,13.1,23
Callum Wilson,11.3,24
Keylor Navas,10.5,1
Dean Henderson,10.1,2
Wayne Hennessey,12.75,3
Neco Williams,27.6,4
Serge Aurier,15.9,5
Joe Worrall,10.2,6
Moussa Niakhate,10,7
Steve Cook,10.55,8
Willy Boly,9.55,9
Felipe,8.75,10
Scott McKenna,8.35,11
Giulian Biancone,9.45,12
Harry Toffolo,10.25,13
Renan Lodi,11.25,14
Cheikhou Kouyate,12.1,15
Jack Colback,11.6,16
Orel Mangala,11.15,17
Ryan Yates,11.6,18
Cafu,12,19
Jonjo Shelvey,9.5,20
Gustavo Scarpa,11.25,21
Danilo,10.25,22
Lewis O'Brien,10.7,23
Remo Freuler,10.7,24
Jesse Lingard,12.75,25
Morgan Gibbs-White,6.25,26
Alex Mighten,11.85,27
Brennan Johnson,14.5,28
Emmanuel Dennis,15.6,29
Sam Surridge,11.4,30
Taiwo Awoniyi,10.7,31
Chris Wood,8.6,32
Andre Ayew,9.6,33
Gavin Bazunu,8.95,1
Kyle Walker-Peters,12.6,2
James Bree,12,3
Yan Valery,12.35,4
Armel Bella Kotchap,11.4,5
Mohammed Salisu,11.6,6
Duje Caleta-Car,10.5,7
Jan Bednarek,11.8,8
Lyanco,11.65,9
Romain Perraud,9.6,10
Juan Larios,9.75,11
Ainsley Maitland-Niles,11.2,12
Moussa Djenepo,10.5,13
Mohamed Elyounoussi,11.5,14
Oriol Romeu,12.15,15
James Ward-Prowse,14.25,16
Ibrahima Diallo,12.65,17
Romeo Lavia,11.5,18
Carlos Alcaraz,11,19
Stuart Armstrong,12.75,20
Nathan Redmond,12.85,21
Joe Ayodele-Aribo,11.2,22
Kamaldeen Sulemana,11.25,23
Adam Armstrong,10.25,24
Che Adams,12.8,25
Sekou Mara,11.4,26
Samuel Edozie,10.4,27
Theo Walcott,9.8,28
Mislav Orsic,10.8,29
Paul Onuachu,10.85,30
Hugo Lloris,11.25,1
Fraser Forster,10.5,2
Pedro Porro,14.45,3
Matt Doherty,17.05,4
Djed Spence,14.45,5
Japhet Tanganga,11.15,6
Cristian Romero,12.15,7
Davinson Sanchez,14.55,8
Eric Dier,10.6,9
Clement Lenglet,9.45,10
Ben Davies,11.1,11
Emerson Royal,13.6,12
Ryan Sessegnon,12.3,13
Rodrigo Bentancur,12.1,14
Pierre-Emile Hojbjerg,12,15
Yves Bissouma,12.5,16
Pape Sarr,11.25,17
Oliver Skipp,8.5,18
Harvey White,9,19
Ivan Perisic,11.3,20
Dejan Kulusevski,18.15,21
Arnaut Danjuma Groeneveld,16,22
Lucas Moura,15.5,23
Son Heung-Min,19.1,24
Richarlison,13,25
Bryan Gil,13.1,26
Harry Kane,15.2,27
Lukasz Fabianski,10.2,1
Alphonse Areola,6.5,2
Vladimir Coufal,11.35,3
Thilo Kehrer,11.5,4
Ben Johnson,11.6,5
Kurt Zouma,9.7,6
Nayef Aguerd,10.7,7
Angelo Ogbonna,9.6,8
Aaron Cresswell,11.65,9
Emerson,9.15,10
Tomas Soucek,11.4,11
Declan Rice,12.2,12
Flynn Downes,14.2,13
Conor Coventry,15.6,14
Lucas Paqueta,14.4,15
Manuel Lanzini,13.3,16
Pablo Fornals,12.15,17
Jarrod Bowen,15.3,18
Said Benrahma,14.7,19
Maxwel Cornet,13.2,20
Michail Antonio,12,21
Gianluca Scamacca,12.95,22
Divin Mubama,11.95,23
Danny Ings,11.6,24
Jose Sa,11.45,1
Jonny,12.15,2
Dexter Lembikisa,12.5,3
Nathan Collins,12.4,4
Max Kilman,11.75,5
Craig Dawson,11.05,6
Toti,9.8,7
Hugo Bueno,9.8,8
Nelson Semedo,13.6,9
Rayan Ait-Nouri,14.55,10
Boubacar Traore,11.5,11
Joao Moutinho,11.15,12
Mario Lemina,11.15,13
Joseph Hodge,10.5,14
Pablo Sarabia,11.5,15
Ruben Neves,12.3,16
Matheus Nunes,12.8,17
Connor Ronan,10.5,18
Joao Gomes,12.75,19
Daniel Podence,14.9,20
Chem Campbell,12.5,21
Pedro Neto,14.4,22
Hwang Hee-Chan,10.75,23
Adama Traore,14.5,24
Goncalo Guedes,13,25
Raul Jimenez,10.15,26
Sasa Kalajdzic,10.15,27
Diego Costa,10.15,28
Matheus Cunha,11.15,29
